435 9 4
553 174 4
377 682 3
7 503 4
535 727 4
551 875 4
315 203 3
621 17 4
566 218 4
7 444 5
223 257 4
417 364 3
533 756 4
401 659 3
655 935 3
502 342 4
351 332 5
296 688 1
180 196 5
429 845 4
207 202 3
236 429 1
456 196 4
607 382 3
533 58 4
406 845 3
555 302 3
334 143 2
181 1022 1
592 306 5
437 238 5
445 100 2
504 212 4
399 542 3
336 42 5
648 411 2
374 986 3
323 288 3
244 629 4
448 286 2
567 646 5
373 472 3
524 480 4
554 43 3
222 712 3
416 651 4
141 25 5
450 1048 3
615 199 5
416 181 5
614 288 2
437 185 5
585 971 3
438 245 5
585 1323 3
530 60 5
477 36 4
371 435 3
255 895 2
639 210 3
548 23 5
85 328 3
280 393 4
416 676 5
553 218 4
399 1541 3
554 14 4
567 641 5
307 1028 4
653 257 3
92 174 5
141 985 4
655 179 4
303 824 3
342 408 5
656 689 2
656 327 2
374 566 3
579 216 5
621 63 1
189 150 4
387 558 4
399 215 2
10 530 4
498 288 3
405 433 4
643 484 5
616 315 4
303 1023 2
91 192 4
620 501 4
551 80 1
109 111 4
244 697 4
63 1010 3
592 215 5
16 227 5
92 116 3
295 65 5
440 750 5
650 50 5
592 1609 1
626 682 3
554 318 5
606 265 4
393 1539 2
92 383 1
533 72 2
499 692 4
298 168 5
401 735 5
503 482 5
450 965 4
450 26 5
510 333 3
121 118 2
582 93 5
562 477 4
639 198 2
621 100 5
271 405 2
542 210 3
181 758 1
561 732 3
592 250 4
524 781 1
504 218 4
653 226 3
276 679 3
553 1200 3
479 173 5
647 604 4
56 226 4
280 294 2
245 597 4
85 606 4
587 259 4
637 332 4
612 15 4
526 250 2
620 240 5
348 25 4
13 128 1
595 282 4
279 169 5
653 576 1
300 409 4
462 22 5
26 313 5
303 474 5
201 318 5
378 930 2
468 1051 2
450 651 5
109 227 5
622 132 4
536 215 4
247 1022 4
618 168 5
43 482 4
505 77 3
435 227 4
537 735 3
515 682 4
29 182 4
328 637 3
660 82 2
492 69 3
521 268 5
447 559 3
200 193 4
532 482 5
642 1011 3
343 68 1
559 523 4
201 218 4
327 150 4
625 169 5
452 404 4
566 96 3
90 647 5
524 684 4
292 1073 5
618 9 3
561 8 3
279 679 4
618 241 4
534 147 5
462 300 5
151 469 1
241 689 3
109 395 3
160 922 5
346 144 4
504 106 3
537 458 3
463 107 3
655 98 4
164 252 4
303 70 4
179 288 5
474 282 4
610 489 4
635 269 5
445 1598 1
504 386 3
595 994 4
115 240 5
658 8 5
582 124 4
477 289 5
619 332 4
268 576 1
392 58 4
378 694 3
622 722 3
100 270 3
125 430 4
528 523 4
659 66 4
86 242 4
447 96 5
466 210 4
655 726 2
551 717 3
495 54 5
487 921 5
417 433 4
394 238 5
655 945 2
451 301 4
496 173 5
623 692 3
152 1300 4
336 1048 4
339 174 4
18 386 2
555 357 4
610 97 3
354 186 4
532 450 2
305 179 1
390 329 3
69 7 5
586 249 2
561 229 3
638 172 4
585 1121 4
484 562 3
321 519 4
436 47 4
290 211 3
341 1280 2
363 201 2
648 133 4
624 242 4
118 201 5
276 411 4
60 69 4
307 588 4
58 255 4
543 226 4
269 417 2
523 476 3
653 153 2
488 238 1
577 241 5
176 237 3
653 1210 2
493 48 4
477 778 4
56 42 4
330 69 5
276 768 3
308 665 4
524 1454 3
72 647 1
639 962 1
588 215 5
437 90 3
56 53 3
393 144 3
606 410 3
629 162 5
452 427 4
241 270 3
551 118 5
495 924 3
378 298 3
234 480 4
529 245 3
239 745 5
561 231 2
90 234 4
58 25 4
7 591 3
282 268 4
621 383 2
606 423 5
146 340 4
375 573 4
293 77 2
554 209 4
655 185 4
363 640 2
627 724 2
215 517 5
559 318 5
634 597 4
336 785 1
227 1067 4
445 268 1
334 79 4
454 478 2
226 236 3
487 92 4
261 245 4
413 690 4
643 820 3
59 755 4
279 1012 5
634 129 4
440 313 4
622 432 5
342 433 5
640 1073 5
478 1101 4
638 181 5
277 472 1
623 483 5
592 484 4
648 1050 4
650 521 3
222 44 3
336 1446 1
218 642 3
593 1028 3
506 73 4
133 902 3
548 302 4
604 201 3
532 164 5
264 116 4
586 161 5
551 591 5
588 751 3
629 269 3
94 164 3
385 521 3
315 286 5
497 183 4
648 1244 3
389 923 5
276 193 4
254 323 3
420 478 3
58 213 5
599 237 5
655 347 3
188 118 3
429 500 1
615 707 3
650 217 3
239 1332 3
650 7 4
151 408 5
104 750 5
159 7 5
330 205 3
452 465 5
506 147 3
426 1451 4
276 183 5
577 11 2
26 591 3
297 752 4
505 96 4
538 183 4
160 514 4
660 392 2
222 328 5
629 332 4
543 586 3
393 771 3
392 257 5
226 89 5
658 257 4
471 422 5
650 737 2
654 821 3
201 186 3
537 53 2
276 725 2
648 554 4
538 31 3
85 582 4
354 81 3
614 546 1
499 127 4
492 286 4
629 204 5
363 284 2
537 111 3
582 181 4
263 443 5
585 70 5
646 690 3
201 273 2
577 423 4
381 887 3
218 591 3
361 79 4
6 302 4
437 482 5
347 550 5
65 179 3
592 508 5
551 172 2
95 485 5
183 230 5
403 129 4
480 504 4
155 327 2
324 259 5
541 477 4
221 286 4
189 1402 4
328 328 4
334 134 5
181 263 1
599 111 5
543 519 4
642 1181 2
434 819 3
244 71 4
324 475 5
655 1158 3
608 238 5
566 327 3
541 8 5
644 243 4
90 194 5
523 167 4
625 188 4
378 180 3
299 730 4
119 255 3
399 210 3
197 307 3
458 529 3
52 473 4
254 393 3
214 298 3
518 591 3
490 151 1
604 670 5
6 309 2
499 272 5
30 50 3
514 275 5
648 797 3
521 227 3
133 243 3
185 116 4
472 56 5
358 8 5
262 1014 5
645 1018 3
593 692 3
85 152 5
524 494 4
13 471 1
643 117 3
11 603 4
299 1 3
524 831 3
577 203 3
62 582 4
296 111 3
624 475 4
532 252 4
95 209 4
7 384 3
280 2 3
452 211 2
21 992 2
334 42 4
94 930 2
234 317 2
18 414 4
403 864 4
655 205 3
474 211 5
72 187 4
629 463 4
488 500 4
7 487 3
270 421 5
660 167 2
327 111 4
